id,Formule,BG,IM,CA,a,b,c,alpha,beta,gamma,contains_rare_earth,is_element,num_of_elements
mp-2352,Na2O,1.8736,False,82536.5442219703,5.484981735819652,5.484981735819652,5.484981735819652,90.0,90.0,90.0,False,False,2
mp-2400,NaS,1.2348,False,56396.6597938009,4.45154721903268,4.45154721903268,10.17580278,90.0,90.0,120.0,False,False,2
mp-2437,IrF3,1.1410999999999998,False,417049.4665222003,4.958894909568588,4.958894909568588,13.714840021423637,90.0,90.0,120.0,False,False,2
mp-2455,As2Os,0.6646999999999998,False,396754.193384968,3.04327858,5.41927134,6.20976018,90.0,90.0,90.0,False,False,2
mp-2472,SrO,3.2748,False,3088.4042555178235,5.1675693775763,5.1675693775763,5.1675693775763,90.0,90.0,90.0,False,False,2
mp-2490,GaP,1.6039,False,132236.67002498536,5.45162498890976,5.45162498890976,5.45162498890976,90.0,90.0,90.0,False,False,2
mp-2507,GaS,2.0036,False,22353.533292486987,3.5932473575762773,3.5932473575762773,16.01465599,90.0,90.0,120.0,False,False,2
mp-2530,Li2Te,2.4914,False,7401.304700239134,6.513749003287515,6.513749003287515,6.513749003287515,90.0,90.0,90.0,False,False,2
mp-2605,CaO,3.630100000000001,False,2192.9746064204246,4.807111392065781,4.807111392065781,4.807111392065781,90.0,90.0,90.0,False,False,2
mp-2624,AlSb,1.2255000000000005,False,348957.2552222329,6.185042287114787,6.185042287114787,6.185042287114787,90.0,90.0,90.0,False,False,2
mp-2659,LiN3,3.6364,False,3436.092602208679,5.502507520956158,3.2687436554262224,4.840211758322798,90.0,104.78388365541448,90.0,False,False,2
mp-2667,CsAu,1.0233,False,142700.51855477766,4.28285436,4.28285436,4.28285436,90.0,90.0,90.0,False,False,2
mp-2691,CdSe,0.5096,False,151090.54593470172,6.14054239711744,6.14054239711744,6.14054239711744,90.0,90.0,90.0,False,False,2
mp-2693,SnSe,0.1189,False,1278978.714114919,6.020867425510299,6.020867425510299,6.020867425510299,90.0,90.0,90.0,False,False,2
mp-2697,SrO2,2.8495000000000004,False,2234.0352020164614,3.544240324747733,3.544240324747733,6.6845123218523606,90.0,90.0,90.0,False,False,2
mp-2706,SnF4,3.115,False,1338.4932240898218,4.07831350075408,4.07831350075408,7.769306271936078,90.0,90.0,90.0,False,False,2
mp-2758,SrSe,2.2313,False,13824.998866014525,6.279421748401956,6.279421748401956,6.279421748401956,90.0,90.0,90.0,False,False,2
mp-2784,Na2Te,2.0282,False,62561.616050623,7.265958466767905,7.265958466767905,7.265958466767905,90.0,90.0,90.0,False,False,2
mp-2964,NaNO2,0.0,True,15264.983196699051,3.478627283735936,5.358031129591835,5.468455136001609,90.0,90.0,90.0,False,False,3
mp-2991,Cs2UO4,1.8211,False,106853.02762454878,4.39260526472602,4.39260526472602,14.948161682797942,90.0,90.0,90.0,False,False,3
mp-21276,PbS,0.4666999999999994,False,643838.0038944525,4.23050716,5.9824948,8.43319393,90.0,90.0,90.0,False,False,2
mp-21855,VCu3Se4,0.8164000000000002,False,297204.38848687225,5.5751705,5.5751705,5.5751705,90.0,90.0,90.0,False,False,3
mp-22232,TlInSe2,0.7351000000000001,False,307790.9997805156,8.168701471226143,8.168701471226143,6.9284588156446185,90.0,90.0,90.0,False,False,3
mp-22313,Na2PtO2,1.4632999999999998,False,51814.44917324935,3.13998282,4.55414738,9.43159774,90.0,90.0,90.0,False,False,3
mp-22859,HgI,1.6426000000000005,False,642451.1826638625,5.070440821419709,5.070440821419709,11.77167852497402,90.0,90.0,90.0,False,False,2
mp-22867,RbBr,4.192,False,1262.071220406633,6.911900718971193,6.911900718971193,6.911900718971193,90.0,90.0,90.0,False,False,2
mp-22877,VCl2,1.2559999999999998,False,20469.30606957621,3.6387906923434383,3.6387906923434383,6.09125368,90.0,90.0,120.0,False,False,2
mp-22881,CdCl2,3.5244,False,2028.0384719028489,3.8572081188736136,3.8572081188736136,18.317236266772102,90.0,90.0,120.0,False,False,2
mp-22885,XeF2,2.6861999999999995,False,3712.433294379692,4.246657338317982,4.246657338317982,7.091690772966438,90.0,90.0,90.0,False,False,2
mp-22897,HgCl,2.7243000000000004,False,11323.398672808316,4.529054621991,4.529054621991,11.04382662925866,90.0,90.0,90.0,False,False,2
